 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
   232.500,   1,  0.18289908E+09,   0.00000000E+00,  -0.18289908E+09,  -0.29031600E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.65292645E-08,
   239.500,   1,  0.19051956E+09,   0.00000000E+00,  -0.19051956E+09,  -0.30241200E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.72334200E-08,
   246.500,   1,  0.19814004E+09,   0.00000000E+00,  -0.19814004E+09,  -0.31450800E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.77526375E-08,
   253.500,   1,  0.20576052E+09,   0.00000000E+00,  -0.20576052E+09,  -0.32660400E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.81563154E-08,
   260.500,   1,  0.21338100E+09,   0.00000000E+00,  -0.21338100E+09,  -0.33870000E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.99472201E-08,
   267.500,   1,  0.22100148E+09,   0.00000000E+00,  -0.22100148E+09,  -0.35079600E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.51063203E-08,
   274.500,   1,  0.22862196E+09,   0.00000000E+00,  -0.22862196E+09,  -0.36289200E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.91175994E-08,
   281.500,   1,  0.23624244E+09,   0.00000000E+00,  -0.23624244E+09,  -0.37498800E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.67260872E-08,
   288.500,   1,  0.24386292E+09,   0.00000000E+00,  -0.24386292E+09,  -0.38708400E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.17916400E-08,
   295.500,   1,  0.25148340E+09,   0.00000000E+00,  -0.25148340E+09,  -0.39918000E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.44682742E-08,
   302.500,   1,  0.25910388E+09,   0.00000000E+00,  -0.25910388E+09,  -0.41127600E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.49067690E-08,
   309.500,   1,  0.26672436E+09,   0.00000000E+00,  -0.26672436E+09,  -0.42337200E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.33371804E-08,
   316.500,   1,  0.27434484E+09,   0.00000000E+00,  -0.27434484E+09,  -0.43546800E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.21099054E-08,
   323.500,   1,  0.28196532E+09,   0.00000000E+00,  -0.28196532E+09,  -0.44756400E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.25456325E-08,
   330.500,   1,  0.28958580E+09,   0.00000000E+00,  -0.28958580E+09,  -0.45966000E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.48346828E-08,
   337.500,   1,  0.29720628E+09,   0.00000000E+00,  -0.29720628E+09,  -0.47175600E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.61079449E-08,
   344.500,   1,  0.30482676E+09,   0.00000000E+00,  -0.30482676E+09,  -0.48385200E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.47469514E-08,
   351.500,   1,  0.31244724E+09,   0.00000000E+00,  -0.31244724E+09,  -0.49594800E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.49120680E-08,
   358.500,   1,  0.32006772E+09,   0.00000000E+00,  -0.32006772E+09,  -0.50804400E+06,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,   0.00000000E+00,  -0.74027087E-08,
